ID;date_death;sex;age_category;standardized_rank;rank_category;clan
Hy_080;24/01/2019;F;adult;1;high;P
Hy_061;02/06/2015;F;adult;0.13;mid;P
Hy_071;07/07/2016;F;subadult;-0.14;mid;I
Hy_052;12/02/2013;F;adult;0.26;mid;I
Hy_048;17/09/2011;F;subadult;-0.29;mid;I
Hy_047;20/04/2011;F;adult;0.38;high;P
Hy_083;16/02/2020;F;adult;0.42;high;I
Hy_084;16/02/2020;F;adult;0.47;high;I
Hy_056;20/01/2014;F;adult;0.7;high;M
Hy_100;25/09/2022;F;subadult;-0.67;low;I
Hy_032;07/08/2002;M;subadult;0.89;NA;M
Hy_068;07/06/2016;M;subdadult;-0.59;NA;M
