segment_ID,ID_closest_amenity,distance,long_amenity,lat_amenity
4_1,0,1467.99412194758,34.7796586,-2.7509399
4_2,0,3169.22009224697,34.7796586,-2.7509399
4_3,4927,3739.39832615869,34.7747982,-2.7446124
4_4,4922,3890.71154945968,34.7742671,-2.7440944
5_1,4815,1195.96550800842,34.7594893,-2.766193
5_2,4824,1801.21875162214,34.7582544,-2.7655758
5_3,4824,1543.4590013678,34.7582544,-2.7655758
5_4,4912,2603.26504281479,34.7641095,-2.7543743
5_5,4913,3418.83916596826,34.7732136,-2.7446633
5_6,4922,4806.21023166124,34.7742671,-2.7440944
5_7,5120,5012.57490846557,34.7344832,-2.6681016
6_1,4149,5698.63449879196,34.7603117,-2.6059159
6_2,5120,5294.35660189639,34.7344832,-2.6681016
6_3,4922,5701.80378522851,34.7742671,-2.7440944
6_4,4922,3291.85239816996,34.7742671,-2.7440944
6_5,4922,887.069479278075,34.7742671,-2.7440944
6_6,0,366.169395512986,34.7796586,-2.7509399
6_7,4815,895.02029348957,34.7594893,-2.766193
7_1,249,2955.01176394429,34.7562171,-2.356964
7_2,5106,3031.6957821632,34.7027211,-2.3826676
7_3,5106,1399.17160122572,34.7027211,-2.3826676
8_1,5132,1109.5051385572,34.8606854,-2.4560677
8_2,5132,3177.7149335241,34.8606854,-2.4560677
8_3,5132,4045.74507558736,34.8606854,-2.4560677
9_1,5132,1830.73498322184,34.8606854,-2.4560677
9_2,5132,2877.51003145774,34.8606854,-2.4560677
9_3,442,3772.47566026348,34.8205775,-2.4575322
9_4,442,2900.90125285752,34.8205775,-2.4575322
9_5,442,1729.74106889603,34.8205775,-2.4575322
10_1,5130,2618.52174948836,34.8013173,-2.4066725
10_2,5130,4047.98175337418,34.8013173,-2.4066725
10_3,4462,4235.48743434278,34.7471997,-2.4521875
10_4,5107,3332.00439331039,34.7041592,-2.3867942
12_1,4886,6904.28921137369,35.1307968,-2.805763
12_2,4886,8907.62264219591,35.1307968,-2.805763
14_1,1974,10579.017798814,34.9486121,-2.4484504
15_1,4886,6950.00764528974,35.1307968,-2.805763
15_2,4886,9375.21438216116,35.1307968,-2.805763
18_1,5051,12194.9701335492,34.9783418,-2.7874209
18_2,5051,10282.6870776085,34.9783418,-2.7874209
19_1,5051,12088.0223598508,34.9783418,-2.7874209
19_2,5051,11683.9204413697,34.9783418,-2.7874209
19_3,5051,11195.3748929796,34.9783418,-2.7874209
19_4,5051,11956.1156299547,34.9783418,-2.7874209
20_1,5051,12124.386393865,34.9783418,-2.7874209
20_2,5052,10289.3394951128,34.9785134,-2.7876379
20_3,5052,8453.88639053189,34.9785134,-2.7876379
20_4,4867,7041.48301741686,35.0038968,-2.8305218
20_5,4867,4614.20059095797,35.0038968,-2.8305218
21_1,5120,4976.61018429117,34.7344832,-2.6681016
23_1,5126,2287.99405949324,34.7750755,-2.5044614
23_2,5103,907.206936187068,34.7793608,-2.5341991
23_3,5103,1449.1656629583,34.7793608,-2.5341991
23_4,5103,3777.0208309171,34.7793608,-2.5341991
23_5,3983,2962.16916073761,34.7652439,-2.5868785
23_6,4130,2249.67228069611,34.7672234,-2.5982112
23_7,4149,2615.0404085121,34.7603117,-2.6059159
25_1,5024,10102.6249819282,34.8491963,-2.7460483
26_1,5103,4796.77135591901,34.7793608,-2.5341991
26_2,5103,5656.32982984739,34.7793608,-2.5341991
27_1,4149,3189.19918858287,34.7603117,-2.6059159
27_2,4130,4583.37363547211,34.7672234,-2.5982112
27_3,4130,5976.33744789462,34.7672234,-2.5982112
